Agent Type,Qwen3-14B,Qwen3-32B,gpt-oss:20b,gpt-oss:120b
Reasoner,0.61,0.68,0.26,0.53
Reflexion,0.43,0.39,0.04,0.87
React,0.71,0.76,0.15,0.9
