Agent Type,Qwen3-14B,Qwen3-32B,gpt-oss:20b,gpt-oss:120b
Reasoner,0.2,0.18,0.44,0.23
Reflexion,0.07,0.14,0.07,0.07
React,0.03,0.1,0.13,0.11
