Agent Type,Qwen3-14B,Qwen3-32B,gpt-oss:20b,gpt-oss:120b
Reasoner,0.37,0.43,0.09,0.5
Reflexion,0.23,0.43,0.04,0.48
React,0.49,0.54,0.11,0.76
