Agent Type,Qwen3-14B,Qwen3-32B,gpt-oss:20b,gpt-oss:120b
Reasoner,0.72,0.69,0.48,0.89
Reflexion,0.3,0.28,0.09,0.73
React,0.76,0.85,0.11,0.73
